Target,USR AUC,VAMS AUC,Unopt_ROCS AUC,Opt_ROCS AUC,Color_USR AUC,Color_Unopt_ROCS AUC,Color_Opt_ROCS AUC,USR BEDROC,VAMS BEDROC,Unopt_ROCS BEDROC,Opt_ROCS BEDROC,Color_USR BEDROC,Color_Unopt_ROCS BEDROC,Color_Opt_ROCS BEDROC
aa2ar,0.507,0.562,0.569,0.601,0.533,0.606,0.705,0.095,0.114,0.126,0.175,0.039,0.161,0.293
abl1,0.348,0.434,0.509,0.552,0.338,0.514,0.614,0.048,0.092,0.113,0.158,0.085,0.146,0.249
ace,0.593,0.624,0.587,0.596,0.751,0.613,0.694,0.073,0.137,0.109,0.097,0.326,0.151,0.256
aces,0.265,0.226,0.212,0.261,0.278,0.242,0.517,0.012,0.012,0.017,0.052,0.023,0.026,0.093
ada,0.525,0.622,0.566,0.735,0.689,0.629,0.888,0.084,0.102,0.142,0.204,0.32,0.203,0.675
ada17,0.39,0.439,0.462,0.446,0.459,0.47,0.636,0.069,0.093,0.073,0.072,0.097,0.094,0.226
adrb1,0.385,0.469,0.438,0.378,0.397,0.426,0.465,0.05,0.11,0.117,0.106,0.073,0.115,0.184
adrb2,0.424,0.476,0.429,0.382,0.367,0.413,0.43,0.063,0.105,0.099,0.096,0.059,0.109,0.133
akt1,0.358,0.412,0.304,0.275,0.401,0.274,0.37,0.031,0.032,0.029,0.026,0.051,0.033,0.069
akt2,0.388,0.364,0.366,0.376,0.398,0.369,0.412,0.076,0.065,0.091,0.112,0.156,0.09,0.149
aldr,0.541,0.587,0.629,0.639,0.282,0.636,0.685,0.077,0.205,0.268,0.245,0,0.31,0.453
ampc,0.528,0.641,0.625,0.583,0.725,0.661,0.758,0.055,0.265,0.189,0.303,0.422,0.221,0.471
andr,0.535,0.589,0.533,0.569,0.685,0.57,0.691,0.089,0.151,0.123,0.164,0.288,0.174,0.319
aofb,0.315,0.418,0.436,0.397,0.364,0.44,0.379,0.045,0.065,0.072,0.067,0.061,0.056,0.054
bace1,0.48,0.436,0.306,0.32,0.483,0.315,0.313,0.033,0.016,0.016,0.022,0.021,0.015,0.043
braf,0.391,0.476,0.465,0.533,0.637,0.474,0.581,0.093,0.181,0.172,0.288,0.202,0.186,0.342
cah2,0.374,0.436,0.447,0.46,0.354,0.426,0.512,0.035,0.052,0.064,0.057,0.037,0.052,0.142
casp3,0.542,0.464,0.458,0.455,0.581,0.445,0.514,0.068,0.06,0.061,0.045,0.226,0.062,0.082
cdk2,0.567,0.673,0.701,0.724,0.694,0.715,0.703,0.108,0.189,0.219,0.255,0.25,0.225,0.27
comt,0.486,0.568,0.529,0.63,0.626,0.521,0.904,0.089,0.146,0.112,0.257,0.299,0.182,0.738
cp2c9,0.442,0.455,0.435,0.434,0.421,0.452,0.457,0.041,0.089,0.068,0.093,0.059,0.066,0.077
cp3a4,0.529,0.542,0.54,0.549,0.509,0.51,0.511,0.076,0.095,0.086,0.126,0.066,0.064,0.053
csf1r,0.444,0.539,0.576,0.635,0.51,0.608,0.664,0.155,0.303,0.285,0.324,0.111,0.298,0.336
cxcr4,0.62,0.715,0.735,0.779,0.646,0.741,0.782,0.029,0.168,0.204,0.457,0.099,0.294,0.49
def,0.577,0.704,0.658,0.748,0.774,0.654,0.86,0.114,0.24,0.242,0.393,0.351,0.279,0.557
dhi1,0.518,0.655,0.628,0.68,0.464,0.623,0.617,0.069,0.202,0.177,0.265,0.066,0.183,0.269
dpp4,0.647,0.633,0.643,0.655,0.643,0.647,0.681,0.132,0.163,0.19,0.172,0.228,0.234,0.259
drd3,0.281,0.333,0.324,0.299,0.189,0.315,0.312,0.025,0.042,0.051,0.038,0.01,0.04,0.035
dyr,0.389,0.39,0.404,0.444,0.643,0.473,0.735,0.045,0.064,0.054,0.082,0.387,0.193,0.474
egfr,0.489,0.549,0.578,0.662,0.532,0.625,0.769,0.056,0.138,0.175,0.184,0.083,0.218,0.391
esr1,0.475,0.579,0.596,0.648,0.686,0.619,0.734,0.092,0.259,0.312,0.353,0.333,0.352,0.544
esr2,0.475,0.582,0.587,0.648,0.815,0.678,0.783,0.095,0.167,0.168,0.312,0.428,0.256,0.481
fa10,0.65,0.64,0.636,0.656,0.601,0.641,0.712,0.107,0.144,0.141,0.181,0.137,0.161,0.323
fa7,0.62,0.536,0.602,0.522,0.857,0.599,0.614,0.112,0.047,0.077,0.108,0.458,0.087,0.232
fabp4,0.74,0.752,0.752,0.801,0.379,0.744,0.788,0.367,0.209,0.32,0.467,0,0.34,0.432
fak1,0.49,0.645,0.749,0.865,0.69,0.771,0.949,0.052,0.187,0.29,0.476,0.143,0.313,0.864
fgfr1,0.228,0.368,0.402,0.438,0.293,0.421,0.557,0.036,0.057,0.046,0.035,0.009,0.057,0.061
fkb1a,0.547,0.662,0.585,0.638,0.377,0.561,0.622,0.063,0.106,0.087,0.124,0.015,0.075,0.094
fnta,0.552,0.619,0.547,0.659,0.599,0.557,0.777,0.117,0.1,0.063,0.132,0.14,0.079,0.337
fpps,0.785,0.85,0.82,0.872,0.631,0.825,0.986,0.314,0.682,0.657,0.707,0.178,0.698,0.923
gcr,0.5,0.494,0.419,0.49,0.627,0.446,0.592,0.09,0.127,0.092,0.161,0.142,0.097,0.171
glcm,0.4,0.388,0.424,0.439,0.492,0.428,0.519,0.051,0.063,0.098,0.086,0.14,0.117,0.173
gria2,0.45,0.472,0.543,0.622,0.509,0.562,0.681,0.134,0.094,0.186,0.364,0.152,0.179,0.409
grik1,0.452,0.573,0.656,0.633,0.488,0.665,0.726,0.059,0.101,0.158,0.148,0.036,0.163,0.245
hdac2,0.278,0.451,0.43,0.416,0.182,0.403,0.436,0.035,0.11,0.111,0.081,0.038,0.092,0.1
hdac8,0.538,0.418,0.38,0.505,0.769,0.415,0.653,0.058,0.07,0.058,0.123,0.482,0.079,0.321
hivint,0.452,0.425,0.409,0.456,0.299,0.408,0.474,0.028,0.05,0.062,0.107,0,0.046,0.072
hivpr,0.742,0.778,0.747,0.724,0.733,0.772,0.693,0.317,0.274,0.257,0.21,0.173,0.3,0.175
hivrt,0.616,0.688,0.697,0.634,0.665,0.688,0.609,0.139,0.147,0.176,0.111,0.16,0.164,0.146
hmdh,0.601,0.771,0.775,0.841,0.57,0.775,0.909,0.255,0.38,0.38,0.56,0.271,0.391,0.73
hs90a,0.727,0.664,0.624,0.714,0.692,0.633,0.734,0.118,0.206,0.173,0.266,0.165,0.191,0.453
hxk4,0.505,0.395,0.47,0.632,0.719,0.491,0.808,0.102,0.248,0.272,0.398,0.417,0.29,0.523
igf1r,0.338,0.341,0.349,0.486,0.518,0.353,0.547,0.042,0.04,0.063,0.135,0.141,0.089,0.196
inha,0.345,0.492,0.505,0.638,0.516,0.524,0.718,0.026,0.116,0.124,0.253,0.155,0.156,0.34
ital,0.578,0.483,0.45,0.532,0.473,0.47,0.477,0.077,0.177,0.16,0.175,0.007,0.158,0.166
jak2,0.471,0.673,0.696,0.785,0.664,0.711,0.809,0.039,0.217,0.216,0.345,0.098,0.237,0.529
kif11,0.61,0.678,0.671,0.763,0.693,0.714,0.759,0.107,0.172,0.172,0.363,0.245,0.299,0.461
kit,0.192,0.368,0.377,0.408,0.278,0.387,0.481,0.008,0.056,0.046,0.044,0.028,0.043,0.066
kith,0.704,0.618,0.573,0.478,0.751,0.558,0.681,0.13,0.141,0.157,0.203,0.202,0.198,0.383
kpcb,0.691,0.66,0.684,0.751,0.715,0.703,0.801,0.201,0.132,0.232,0.41,0.237,0.264,0.686
lck,0.246,0.296,0.406,0.432,0.246,0.416,0.446,0.013,0.032,0.062,0.115,0.008,0.061,0.094
lkha4,0.518,0.61,0.621,0.661,0.478,0.623,0.787,0.103,0.217,0.239,0.29,0.092,0.277,0.453
mapk2,0.429,0.732,0.715,0.736,0.533,0.724,0.856,0.075,0.293,0.316,0.394,0.219,0.332,0.6
mcr,0.562,0.574,0.49,0.546,0.788,0.575,0.663,0.087,0.111,0.045,0.107,0.287,0.087,0.237
met,0.747,0.748,0.777,0.765,0.765,0.79,0.812,0.349,0.394,0.369,0.392,0.481,0.376,0.461
mk01,0.423,0.486,0.561,0.531,0.489,0.599,0.729,0.067,0.152,0.164,0.18,0.093,0.165,0.338
mk10,0.458,0.527,0.514,0.486,0.531,0.529,0.556,0.031,0.078,0.112,0.092,0.057,0.135,0.128
mk14,0.586,0.559,0.556,0.59,0.605,0.555,0.568,0.163,0.144,0.141,0.184,0.11,0.137,0.183
mmp13,0.513,0.532,0.493,0.554,0.67,0.492,0.687,0.077,0.145,0.108,0.153,0.262,0.13,0.349
mp2k1,0.512,0.528,0.569,0.486,0.434,0.575,0.526,0.133,0.161,0.105,0.134,0.088,0.161,0.229
nos1,0.321,0.436,0.412,0.38,0.361,0.394,0.378,0.04,0.108,0.096,0.059,0.032,0.095,0.054
nram,0.815,0.81,0.755,0.8,0.493,0.751,0.865,0.303,0.305,0.238,0.321,0.028,0.262,0.362
pa2ga,0.539,0.612,0.598,0.645,0.549,0.609,0.711,0.044,0.138,0.119,0.141,0.18,0.166,0.405
parp1,0.585,0.717,0.704,0.656,0.637,0.709,0.712,0.163,0.339,0.305,0.308,0.166,0.316,0.403
pde5a,0.466,0.588,0.528,0.611,0.562,0.538,0.615,0.04,0.099,0.119,0.181,0.112,0.119,0.233
pgh1,0.468,0.693,0.731,0.727,0.604,0.715,0.635,0.041,0.176,0.221,0.2,0.109,0.204,0.159
pgh2,0.564,0.738,0.739,0.806,0.66,0.735,0.75,0.114,0.367,0.345,0.474,0.194,0.382,0.515
plk1,0.423,0.494,0.516,0.549,0.535,0.536,0.557,0.01,0.018,0.035,0.044,0.121,0.06,0.064
pnph,0.69,0.629,0.656,0.81,0.729,0.678,0.918,0.133,0.188,0.256,0.561,0.273,0.333,0.729
ppara,0.856,0.774,0.806,0.818,0.795,0.798,0.8,0.362,0.289,0.342,0.336,0.181,0.341,0.381
ppard,0.575,0.546,0.581,0.617,0.373,0.597,0.686,0.102,0.174,0.124,0.129,0.023,0.169,0.301
pparg,0.665,0.566,0.626,0.623,0.298,0.648,0.732,0.227,0.139,0.134,0.182,0.006,0.186,0.34
prgr,0.628,0.679,0.678,0.692,0.604,0.679,0.704,0.143,0.168,0.17,0.122,0.121,0.221,0.182
ptn1,0.223,0.322,0.318,0.327,0.113,0.303,0.29,0.029,0.055,0.056,0.053,0.012,0.056,0.054
pur2,0.649,0.564,0.565,0.489,0.756,0.614,0.898,0.288,0.244,0.24,0.271,0.472,0.327,0.621
pygm,0.454,0.471,0.504,0.478,0.576,0.535,0.461,0.058,0.018,0.017,0.03,0.095,0.025,0.007
pyrd,0.779,0.867,0.882,0.899,0.466,0.853,0.856,0.314,0.567,0.589,0.64,0.014,0.566,0.623
reni,0.729,0.677,0.601,0.603,0.587,0.599,0.573,0.167,0.186,0.187,0.229,0.239,0.224,0.31
rock1,0.505,0.447,0.423,0.47,0.525,0.456,0.609,0.038,0.068,0.046,0.034,0.042,0.109,0.074
rxra,0.464,0.509,0.438,0.668,0.349,0.563,0.9,0.036,0.105,0.038,0.214,0.039,0.196,0.679
sahh,0.742,0.534,0.557,0.874,0.912,0.713,0.995,0.329,0.159,0.202,0.63,0.746,0.321,0.983
src,0.56,0.59,0.6,0.666,0.518,0.6,0.585,0.05,0.062,0.069,0.112,0.055,0.079,0.12
tgfr1,0.506,0.644,0.632,0.68,0.52,0.639,0.721,0.168,0.375,0.366,0.416,0.179,0.329,0.384
thb,0.698,0.706,0.762,0.818,0.671,0.772,0.887,0.139,0.359,0.426,0.558,0.092,0.443,0.697
thrb,0.641,0.448,0.4,0.418,0.573,0.42,0.516,0.079,0.031,0.035,0.035,0.083,0.033,0.076
try1,0.726,0.656,0.588,0.531,0.723,0.596,0.574,0.159,0.157,0.128,0.085,0.286,0.126,0.117
tryb1,0.311,0.373,0.421,0.399,0.352,0.454,0.481,0.03,0.061,0.066,0.026,0.058,0.11,0.135
tysy,0.708,0.636,0.637,0.679,0.79,0.669,0.73,0.289,0.217,0.155,0.138,0.484,0.254,0.264
urok,0.328,0.412,0.375,0.412,0.439,0.382,0.499,0.059,0.052,0.062,0.113,0.151,0.058,0.207
vgfr2,0.694,0.637,0.673,0.715,0.597,0.682,0.687,0.122,0.094,0.11,0.152,0.051,0.121,0.201
wee1,0.453,0.573,0.632,0.941,0.804,0.69,0.981,0.068,0.376,0.38,0.64,0.325,0.411,0.959
xiap,0.675,0.652,0.537,0.727,0.848,0.606,0.923,0.113,0.065,0.062,0.183,0.602,0.136,0.709
