Target,OpR AUC Av,OpR AUC SD,OpF AUC Av,OpF AUC SD,WEGA AUC,OpR Time Av,OpR Time SD,OpF Time Av,OpF Time SD,WEGA Time
aa2ar,0.57,0,0.56,0.011,0.57,2656.8,24.748,45.6,1.125,1363.1
abl1,0.52,0.001,0.53,0.003,0.52,905.6,5.756,35.8,1.197,430.4
ace,0.51,0,0.5,0.015,0.53,1392.5,4.369,27.8,0.827,710.6
aces,0.24,0,0.27,0.006,0.24,1733.6,3.072,26.9,0.901,978.7
ada,0.63,0,0.58,0.041,0.71,245.6,1.57,5.3,0.193,232
ada17,0.48,0,0.47,0.002,0.48,1894.6,3.297,47.6,1.796,1011.2
adrb1,0.36,0.002,0.33,0.003,0.36,966.5,1.987,32.6,1.002,634.5
adrb2,0.37,0.001,0.37,0.003,0.38,1155.9,10.912,19.8,0.736,555.6
akt1,0.26,0.001,0.26,0.008,0.26,1062.5,1.992,40.4,0.977,675.6
akt2,0.41,0.001,0.34,0.004,0.39,504.1,5.271,17,0.563,210.9
aldr,0.54,0.001,0.5,0.007,0.54,565.1,2.701,23,0.789,310.2
ampc,0.63,0,0.52,0.007,0.64,118.9,1.736,2.5,0.096,101.8
andr,0.63,0,0.6,0.002,0.63,595.8,17.953,26.1,0.774,398.3
aofb,0.44,0,0.45,0.002,0.44,135.2,0.411,3.1,0.09,198.3
bace1,0.53,0,0.46,0.018,0.54,1284.8,4.041,37.8,1.197,758.4
braf,0.56,0.002,0.48,0.005,0.55,766.7,9.025,14.8,0.424,352.3
cah2,0.45,0.003,0.44,0.002,0.44,765.5,13.342,37.6,1.297,1173.8
casp3,0.41,0,0.44,0.001,0.39,561.4,0.763,13.8,0.384,436.6
cdk2,0.66,0.001,0.64,0.004,0.66,3007.8,71.465,70.7,1.907,837.4
comt,0.6,0.002,0.56,0.005,0.62,122.9,1.591,5.3,0.146,111.7
cp2c9,0.43,0,0.43,0.005,0.44,408.3,2.055,11.1,0.326,280
cp3a4,0.53,0.001,0.53,0.007,0.53,1370.1,6.526,32.5,0.904,430.5
csf1r,0.55,0,0.58,0.006,0.6,1085.7,37.667,27.9,0.806,397.4
cxcr4,0.71,0.002,0.65,0.003,0.73,231.4,1.851,4,0.117,112.3
def,0.69,0,0.55,0.008,0.69,324.2,15.676,6.5,0.188,191.6
dhi1,0.64,0,0.67,0.002,0.64,1200.7,7.467,26.8,0.689,703.7
dpp4,0.57,0,0.55,0.002,0.57,3618.4,6.684,62.8,1.866,1402.7
drd3,0.3,0,0.29,0.002,0.29,2085.8,6.171,56.3,1.884,1174.4
dyr,0.4,0.001,0.38,0.004,0.4,976.6,26.652,63.6,1.888,624.9
egfr,0.52,0.001,0.45,0.005,0.54,3601.2,99.478,54.8,1.78,1460.8
esr1,0.64,0,0.64,0.003,0.63,1994.7,6.168,43.2,1.385,749.2
esr2,0.69,0,0.65,0.003,0.68,1300.2,2.196,25.8,0.919,693.1
fa7,0.66,0.001,0.6,0.003,0.52,2691.7,8.408,111.9,1.731,184.1
fa10,0.51,0.002,0.53,0.008,0.67,761.6,2.982,14,0.388,589.3
fabp4,0.69,0.009,0.62,0.01,0.67,285.8,3.176,11.1,0.425,119
fak1,0.69,0.002,0.67,0.002,0.67,648.8,6.135,37.6,0.863,160.3
fgfr1,0.47,0.002,0.47,0.004,0.46,50.5,0.788,1.7,0.052,50.2
fkb1a,0.68,0.001,0.67,0.008,0.72,458.1,16.792,10.4,0.308,253.5
fnta,0.55,0,0.47,0.004,0.55,6081.6,4.037,186.2,5.634,2102.5
fpps,0.86,0.001,0.81,0.002,0.88,250.7,1.818,8.7,0.267,221.3
gcr,0.52,0,0.48,0.002,0.5,1046,1.883,29.3,0.97,624.2
glcm,0.36,0.002,0.3,0.001,0.35,132.6,6.153,3.4,0.104,132.2
gria2,0.59,0.001,0.56,0.004,0.6,740.5,8.288,22.9,0.865,418.7
grik1,0.62,0.001,0.67,0.004,0.61,262.6,4.979,8.3,0.273,253.6
hdac2,0.34,0,0.31,0.002,0.35,521,2.44,10.6,0.354,400.5
hdac8,0.42,0,0.4,0.004,0.43,528.3,5.144,11.8,0.372,353.7
hivint,0.41,0.001,0.35,0.004,0.41,384.1,1.26,12.3,0.389,221.2
hivpr,0.7,0.001,0.69,0.009,0.71,4748.8,5.144,133.4,3.808,1354.1
hivrt,0.52,0,0.49,0.001,0.52,1107.6,4.25,42.3,1.469,573.8
hmdh,0.75,0,0.71,0.003,0.74,976.8,7.565,19.7,0.549,399.8
hs90a,0.63,0.001,0.6,0.008,0.64,390.3,8.946,9.7,0.189,183.7
hxk4,0.64,0.001,0.49,0.002,0.62,358.3,12.647,11.5,0.382,188.1
igf1r,0.48,0.002,0.46,0.004,0.5,1048.3,2.244,31.8,1.059,401.7
inha,0.39,0.002,0.34,0.005,0.43,130.6,0.407,2.3,0.075,79.6
ital,0.39,0.002,0.44,0.007,0.38,1157.5,2.996,30.1,0.827,459.8
jak2,0.68,0,0.64,0.004,0.68,412.2,4.734,8.1,0.277,283.3
kif11,0.83,0,0.58,0.006,0.83,606.8,6.053,8.2,0.272,318.1
kit,0.43,0,0.41,0.003,0.44,678.5,0.307,15.9,0.559,325.9
kith,0.69,0.003,0.65,0.002,0.7,153.3,1.227,3.7,0.145,104.5
kpcb,0.58,0,0.52,0.004,0.59,622.6,6.039,13.6,0.471,310.2
lck,0.46,0.001,0.43,0.002,0.44,2110.1,4.281,40.6,1.237,1121.1
lkha4,0.52,0,0.52,0.003,0.58,599.4,0.866,9.7,0.298,365.4
mapk2,0.65,0,0.61,0.003,0.65,376.4,1.19,10.4,0.316,210
mcr,0.64,0,0.59,0.002,0.63,292.4,3.096,6.1,0.2,175.4
met,0.68,0.002,0.73,0.007,0.72,2182,15.724,46.8,1.571,564.2
mk01,0.39,0.001,0.38,0.002,0.4,256.9,0.739,6.1,0.209,154.7
mk10,0.45,0,0.49,0.005,0.44,559.1,2.017,11.5,0.362,258.8
mk14,0.54,0.001,0.52,0.003,0.54,6277.2,25.295,139.1,4.452,1404.4
mmp13,0.56,0,0.55,0.002,0.6,3671.8,7.85,63.4,2.08,1525.6
mp2k1,0.42,0,0.53,0.003,0.45,722.9,17.182,11.7,0.383,339.2
nos1,0.35,0.001,0.33,0.003,0.35,366.6,8.322,6.3,0.197,267.2
nram,0.85,0,0.79,0.002,0.85,357,8.898,6.2,0.163,200.7
pa2ga,0.6,0,0.62,0.005,0.6,416.6,3.433,8.6,0.324,218.3
parp1,0.64,0,0.63,0.001,0.64,1481.6,2.181,43.2,1.314,981.3
pde5a,0.59,0,0.56,0.002,0.56,2777,56.574,37.4,1.222,1243.3
pgh1,0.7,0,0.72,0.004,0.71,620.4,1.826,15.3,0.412,425.2
pgh2,0.79,0,0.74,0.001,0.79,1130.5,2.544,35.5,1.161,791.9
plk1,0.53,0,0.47,0.006,0.54,797.5,6.744,11.3,0.346,267.3
pnph,0.74,0,0.7,0.001,0.74,264.4,1.521,5.9,0.185,212.8
ppara,0.76,0,0.75,0.003,0.77,2109.3,27.199,39.3,1.456,870.2
ppard,0.47,0.001,0.34,0.002,0.44,1557.1,2.223,31.7,0.856,503.6
pparg,0.45,0.001,0.43,0.002,0.45,2867.4,34.034,69.3,1.942,1122.2
prgr,0.72,0.001,0.69,0.002,0.71,1148.7,12.219,33.8,1.017,469.9
ptn1,0.31,0.001,0.29,0.005,0.3,348.1,1.425,8.9,0.264,290.6
pur2,0.37,0,0.26,0.009,0.33,242.8,1.844,4.9,0.153,146.9
pygm,0.58,0,0.62,0.005,0.57,241.4,1.812,5.9,0.162,173.2
pyrd,0.84,0,0.8,0.001,0.85,343,0.97,8.2,0.237,233.1
reni,0.59,0.002,0.56,0.003,0.58,970.5,21.357,39.6,1.241,292.4
rock1,0.55,0,0.52,0.002,0.54,216.7,3.338,4.3,0.167,207.4
rxra,0.61,0,0.49,0.003,0.6,410,10.792,8.5,0.312,258.6
sahh,0.87,0,0.6,0.003,0.86,123.9,0.394,2.1,0.105,131.8
src,0.55,0.002,0.53,0.002,0.6,4995.2,6.656,271.2,7.781,1318.6
tgfr1,0.6,0.001,0.49,0.003,0.59,514.3,9.723,10.5,0.373,350.7
thb,0.79,0,0.75,0.001,0.81,651.8,1.963,12.8,0.428,321.2
thrb,0.45,0,0.43,0.003,0.45,2427.1,114.339,71.5,2.444,1205.4
try1,0.57,0,0.56,0.001,0.57,2483.4,50.893,60.8,2.151,1123.2
tryb1,0.38,0,0.36,0.003,0.39,555,2.471,8.3,0.275,277.8
tysy,0.65,0.002,0.61,0.007,0.66,705.4,0.347,16.4,0.525,266.7
urok,0.4,0,0.4,0.002,0.41,511.1,1.834,13.8,0.466,342.5
vgfr2,0.57,0,0.6,0.003,0.59,1816.6,16.649,42.6,1.154,902.3
wee1,0.65,0.001,0.47,0.018,0.62,695.5,5.638,12.1,0.377,204.3
xiap,0.79,0.004,0.76,0.01,0.78,530,6.233,16.1,0.448,187.4
mean,0.56,0.001,0.53,0.005,0.56,1152.9,10.256,30.1,0.912,516.6
