target,AUC,EF_0.5%,EF_1%,EF_2%,EF_8%,EF_20%,BEDROC_alpha=20,BEDROC_alpha=80.5,BEDROC_alpha=321.0
aa2ar,0.734 ,3.75 ,4.79 ,4.69 ,3.13 ,2.19 ,0.178 ,0.089 ,0.066 
abl1,0.577 ,17.46 ,13.77 ,9.32 ,3.30 ,1.59 ,0.241 ,0.230 ,0.334 
ace,0.596 ,8.47 ,5.32 ,3.37 ,1.73 ,1.67 ,0.131 ,0.094 ,0.138 
aces,0.508 ,4.43 ,2.87 ,2.21 ,1.32 ,1.19 ,0.087 ,0.056 ,0.077 
ada,0.751 ,14.63 ,14.67 ,11.08 ,5.73 ,3.10 ,0.357 ,0.236 ,0.211 
ada17,0.653 ,2.13 ,3.25 ,2.15 ,2.29 ,2.21 ,0.144 ,0.052 ,0.032 
adrb1,0.694 ,7.33 ,6.07 ,6.07 ,3.34 ,2.37 ,0.214 ,0.125 ,0.097 
adrb2,0.626 ,5.20 ,3.47 ,2.38 ,1.62 ,1.47 ,0.101 ,0.058 ,0.076 
akt1,0.653 ,8.82 ,6.15 ,6.32 ,3.45 ,2.22 ,0.221 ,0.142 ,0.148 
akt2,0.624 ,6.85 ,4.28 ,2.57 ,1.60 ,1.54 ,0.110 ,0.075 ,0.137 
aldr,0.684 ,28.76 ,16.43 ,9.74 ,4.16 ,2.45 ,0.298 ,0.292 ,0.531 
ampc,0.676 ,0.00 ,0.00 ,2.07 ,2.61 ,2.29 ,0.131 ,0.030 ,0.002 
andr,0.495 ,7.47 ,4.48 ,2.43 ,1.26 ,1.06 ,0.086 ,0.073 ,0.124 
bace1,0.697 ,8.46 ,7.05 ,6.54 ,2.91 ,2.14 ,0.200 ,0.137 ,0.149 
braf,0.797 ,17.27 ,13.81 ,12.16 ,6.00 ,3.26 ,0.367 ,0.256 ,0.283 
cah2,0.919 ,37.00 ,32.13 ,26.23 ,10.14 ,4.38 ,0.690 ,0.552 ,0.558 
casp3,0.727 ,9.12 ,5.52 ,4.27 ,3.14 ,2.54 ,0.197 ,0.118 ,0.156 
cdk2,0.819 ,19.34 ,16.04 ,13.19 ,6.09 ,3.42 ,0.399 ,0.298 ,0.359 
comt,0.906 ,0.00 ,0.00 ,1.22 ,4.27 ,4.88 ,0.207 ,0.014 ,0.000 
cp2c9,0.558 ,4.98 ,3.32 ,4.17 ,1.98 ,1.37 ,0.126 ,0.075 ,0.065 
cp3a4,0.673 ,5.87 ,5.28 ,4.71 ,2.87 ,2.00 ,0.170 ,0.095 ,0.092 
csf1r,0.757 ,27.51 ,27.73 ,16.28 ,5.72 ,3.01 ,0.415 ,0.356 ,0.393 
cxcr4,0.717 ,20.27 ,12.67 ,6.24 ,4.06 ,3.25 ,0.246 ,0.173 ,0.282 
def,0.457 ,1.96 ,1.96 ,0.98 ,0.37 ,0.69 ,0.034 ,0.025 ,0.025 
dhi1,0.503 ,0.00 ,0.00 ,0.91 ,1.10 ,0.97 ,0.055 ,0.013 ,0.001 
dpp4,0.709 ,9.78 ,7.71 ,6.77 ,3.57 ,2.42 ,0.225 ,0.134 ,0.119 
drd3,0.642 ,2.51 ,3.75 ,3.96 ,2.42 ,1.97 ,0.145 ,0.068 ,0.032 
dyr,0.884 ,65.79 ,49.34 ,31.60 ,9.04 ,3.96 ,0.692 ,0.680 ,0.836 
egfr,0.749 ,27.69 ,16.98 ,11.55 ,5.20 ,2.89 ,0.345 ,0.290 ,0.450 
esr1,0.751 ,40.79 ,27.46 ,15.39 ,5.13 ,2.86 ,0.405 ,0.437 ,0.713 
esr2,0.803 ,39.12 ,25.93 ,15.93 ,6.51 ,3.09 ,0.457 ,0.438 ,0.674 
fa10,0.690 ,11.55 ,7.08 ,4.95 ,3.17 ,2.31 ,0.204 ,0.142 ,0.217 
fa7,0.883 ,20.91 ,13.94 ,14.93 ,7.78 ,4.17 ,0.487 ,0.335 ,0.381 
fabp4,0.667 ,8.50 ,4.25 ,4.25 ,1.86 ,1.81 ,0.137 ,0.104 ,0.181 
fak1,0.887 ,22.20 ,21.80 ,16.50 ,8.38 ,3.90 ,0.550 ,0.415 ,0.446 
fgfr1,0.743 ,5.77 ,6.49 ,6.46 ,5.04 ,3.02 ,0.285 ,0.138 ,0.072 
fkb1a,0.645 ,0.00 ,0.90 ,0.45 ,1.80 ,1.67 ,0.080 ,0.015 ,0.004 
fnta,0.704 ,5.40 ,5.07 ,4.90 ,3.27 ,2.28 ,0.183 ,0.090 ,0.074 
fpps,0.788 ,17.44 ,13.55 ,16.63 ,6.33 ,3.02 ,0.402 ,0.248 ,0.133 
gcr,0.464 ,3.11 ,1.94 ,1.36 ,1.11 ,0.91 ,0.071 ,0.040 ,0.050 
glcm,0.660 ,26.29 ,20.12 ,13.90 ,5.10 ,2.59 ,0.359 ,0.309 ,0.414 
gria2,0.719 ,32.85 ,20.85 ,13.27 ,5.22 ,2.69 ,0.360 ,0.319 ,0.483 
grik1,0.778 ,39.86 ,25.91 ,16.32 ,5.82 ,3.02 ,0.415 ,0.402 ,0.616 
hdac2,0.757 ,22.88 ,21.05 ,13.49 ,5.27 ,2.97 ,0.379 ,0.328 ,0.358 
hdac8,0.763 ,14.14 ,14.14 ,11.49 ,5.30 ,3.15 ,0.349 ,0.238 ,0.210 
hivpr,0.660 ,8.60 ,6.54 ,5.52 ,3.18 ,2.11 ,0.192 ,0.119 ,0.134 
hivrt,0.631 ,10.06 ,7.10 ,5.18 ,2.70 ,1.86 ,0.176 ,0.129 ,0.171 
hmdh,0.835 ,52.42 ,41.23 ,23.56 ,7.43 ,3.59 ,0.594 ,0.649 ,0.913 
hs90a,0.617 ,2.24 ,4.58 ,3.97 ,2.56 ,1.93 ,0.149 ,0.074 ,0.040 
hxk4,0.560 ,28.19 ,16.26 ,8.67 ,3.26 ,1.41 ,0.249 ,0.287 ,0.553 
igf1r,0.671 ,31.20 ,16.96 ,10.80 ,3.88 ,2.26 ,0.288 ,0.293 ,0.524 
inha,0.715 ,0.00 ,0.00 ,0.00 ,2.62 ,1.98 ,0.093 ,0.004 ,0.000 
jak2,0.826 ,33.65 ,27.11 ,18.69 ,6.31 ,3.36 ,0.478 ,0.438 ,0.555 
kif1l,0.716 ,17.15 ,12.86 ,8.20 ,4.63 ,2.46 ,0.292 ,0.209 ,0.239 
kit,0.623 ,2.41 ,3.02 ,3.32 ,2.33 ,1.93 ,0.142 ,0.063 ,0.032 
kith,0.762 ,10.20 ,5.27 ,5.27 ,2.86 ,3.07 ,0.217 ,0.145 ,0.225 
kpcb,0.822 ,63.27 ,48.96 ,26.36 ,8.18 ,3.68 ,0.625 ,0.652 ,0.876 
lck,0.773 ,31.42 ,19.99 ,13.21 ,5.27 ,2.94 ,0.369 ,0.323 ,0.467 
lkha4,0.656 ,7.03 ,5.27 ,3.52 ,3.36 ,2.66 ,0.197 ,0.102 ,0.105 
mapk2,0.808 ,41.90 ,28.93 ,17.32 ,6.68 ,3.42 ,0.490 ,0.466 ,0.695 
met,0.846 ,57.83 ,36.75 ,21.99 ,7.30 ,3.64 ,0.537 ,0.527 ,0.757 
mk01,0.691 ,5.09 ,6.37 ,6.30 ,4.27 ,2.53 ,0.247 ,0.137 ,0.085 
mk10,0.792 ,20.85 ,12.51 ,7.21 ,4.57 ,2.88 ,0.286 ,0.212 ,0.297 
mk14,0.696 ,13.83 ,8.99 ,6.92 ,3.53 ,2.32 ,0.229 ,0.170 ,0.242 
mmp13,0.755 ,19.62 ,14.33 ,9.62 ,4.59 ,3.00 ,0.301 ,0.228 ,0.290 
nos1,0.569 ,3.97 ,3.02 ,1.50 ,2.37 ,1.50 ,0.122 ,0.048 ,0.040 
nram,0.715 ,26.94 ,19.38 ,13.26 ,5.48 ,2.65 ,0.378 ,0.326 ,0.478 
pa2ga,0.849 ,40.75 ,32.60 ,19.17 ,7.19 ,3.74 ,0.526 ,0.512 ,0.730 
parp1,0.814 ,18.86 ,18.53 ,14.17 ,6.20 ,3.46 ,0.426 ,0.325 ,0.328 
pde5a,0.697 ,5.51 ,5.28 ,3.77 ,2.64 ,2.41 ,0.164 ,0.086 ,0.100 
pgh2,0.745 ,19.78 ,13.11 ,9.11 ,3.89 ,2.72 ,0.277 ,0.245 ,0.410 
plk1,0.836 ,44.24 ,32.73 ,20.11 ,7.95 ,3.50 ,0.538 ,0.503 ,0.699 
pnph,0.743 ,52.82 ,39.54 ,22.82 ,6.68 ,3.01 ,0.518 ,0.538 ,0.726 
ppara,0.807 ,18.16 ,12.35 ,10.60 ,5.50 ,3.19 ,0.349 ,0.261 ,0.366 
ppard,0.746 ,8.37 ,6.23 ,7.09 ,4.06 ,2.60 ,0.251 ,0.156 ,0.148 
pparg,0.764 ,16.89 ,14.69 ,11.77 ,5.30 ,3.03 ,0.365 ,0.287 ,0.360 
prgr,0.575 ,8.15 ,9.57 ,5.62 ,2.82 ,1.66 ,0.194 ,0.152 ,0.181 
ptn1,0.789 ,6.13 ,5.36 ,6.17 ,5.48 ,3.23 ,0.299 ,0.134 ,0.095 
pur2,0.984 ,54.84 ,54.84 ,41.88 ,11.52 ,4.80 ,0.914 ,0.926 ,0.992 
pyrd,0.829 ,28.63 ,22.37 ,14.43 ,7.10 ,3.78 ,0.450 ,0.364 ,0.452 
reni,0.667 ,31.02 ,19.12 ,12.51 ,4.32 ,2.50 ,0.324 ,0.304 ,0.476 
rock1,0.769 ,25.98 ,14.99 ,9.49 ,4.75 ,2.90 ,0.326 ,0.268 ,0.402 
sahh,0.921 ,52.66 ,49.39 ,32.66 ,9.72 ,4.28 ,0.755 ,0.776 ,0.937 
src,0.747 ,14.93 ,10.14 ,7.28 ,3.28 ,2.38 ,0.226 ,0.175 ,0.249 
tgfr1,0.881 ,52.81 ,43.00 ,30.00 ,9.40 ,4.21 ,0.687 ,0.657 ,0.795 
thb,0.814 ,52.02 ,34.17 ,19.39 ,7.16 ,3.45 ,0.498 ,0.476 ,0.696 
thrb,0.848 ,40.42 ,28.04 ,19.34 ,7.45 ,3.73 ,0.530 ,0.478 ,0.674 
try1,0.734 ,37.86 ,21.02 ,12.39 ,4.86 ,2.82 ,0.352 ,0.353 ,0.611 
tryb1,0.646 ,16.19 ,8.77 ,7.08 ,3.46 ,2.06 ,0.229 ,0.191 ,0.342 
tysy,0.697 ,14.76 ,14.76 ,10.99 ,4.70 ,2.57 ,0.305 ,0.237 ,0.245 
urok,0.840 ,51.87 ,36.43 ,24.08 ,7.10 ,3.61 ,0.559 ,0.571 ,0.794 
vgfr2,0.737 ,23.41 ,15.42 ,9.65 ,4.43 ,2.78 ,0.293 ,0.250 ,0.403 
wee1,0.838 ,61.27 ,44.74 ,25.98 ,8.33 ,3.58 ,0.635 ,0.666 ,0.900 
xiap,0.942 ,50.42 ,51.43 ,44.95 ,11.36 ,4.55 ,0.921 ,0.946 ,0.978 
